PickupDate,fhvrides,Yellowrides,Greenrides
2016-08-28T00:00:00.0000000,369582,286052,40702
2016-10-08T00:00:00.0000000,471318,378088,53161
2016-12-20T00:00:00.0000000,432321,356840,37990
2017-12-11T00:00:00.0000000,590611,310541,27151
2018-01-03T00:00:00.0000000,583436,266992,26418
2016-05-29T00:00:00.0000000,315558,298191,50109
2016-07-26T00:00:00.0000000,353534,350450,36576
2015-04-10T00:00:00.0000000,137984,468077,59253
2017-03-08T00:00:00.0000000,465026,342591,34113
2017-10-18T00:00:00.0000000,539305,327175,27943
2015-09-19T00:00:00.0000000,261851,442543,68348
2016-02-24T00:00:00.0000000,358849,400055,49668
2016-05-08T00:00:00.0000000,344622,373217,57984
2018-12-09T00:00:00.0000000,809723,262093,20401
2016-07-28T00:00:00.0000000,384424,369819,42979
2018-06-12T00:00:00.0000000,630654,295378,22671
2017-03-31T00:00:00.0000000,648642,378553,46484
2016-09-03T00:00:00.0000000,380735,270399,41460
2016-11-13T00:00:00.0000000,419595,339631,40236
2016-12-16T00:00:00.0000000,580773,419164,51133
2017-12-22T00:00:00.0000000,649180,312413,32682
2018-03-30T00:00:00.0000000,729691,307559,28493
2015-09-11T00:00:00.0000000,257625,411777,56693
2017-03-17T00:00:00.0000000,537469,319347,43141
2018-02-06T00:00:00.0000000,612571,303040,25715
2015-12-12T00:00:00.0000000,335418,439266,68101
2015-01-11T00:00:00.0000000,80717,419629,50359
2017-04-03T00:00:00.0000000,438019,304070,31204
2016-12-21T00:00:00.0000000,432472,350458,38920
2017-06-08T00:00:00.0000000,531960,353452,31945
2018-08-25T00:00:00.0000000,797754,230036,23291
2017-06-05T00:00:00.0000000,455653,304042,27776
2017-07-04T00:00:00.0000000,399834,184967,23786
2018-10-13T00:00:00.0000000,896063,298024,25684
2015-03-01T00:00:00.0000000,96463,385267,53354
2016-10-05T00:00:00.0000000,376877,358090,35949
2017-07-14T00:00:00.0000000,581140,307834,33335
2018-07-02T00:00:00.0000000,635621,242071,21963
2015-02-23T00:00:00.0000000,106383,431831,53011
2017-12-31T00:00:00.0000000,741534,244781,29990
2015-06-20T00:00:00.0000000,140349,413866,67109
2016-03-13T00:00:00.0000000,286790,366816,51739
2016-11-19T00:00:00.0000000,486588,384371,51113
2016-05-03T00:00:00.0000000,358941,400483,44265
2015-03-12T00:00:00.0000000,110050,461719,54166
2016-05-15T00:00:00.0000000,351886,408281,57551
2016-03-24T00:00:00.0000000,330120,407035,51454
2016-12-10T00:00:00.0000000,572306,412173,52296
2018-08-17T00:00:00.0000000,784678,272983,23902
2018-01-17T00:00:00.0000000,627873,305033,25141
2015-05-11T00:00:00.0000000,126235,395280,46426
2018-01-26T00:00:00.0000000,738489,335386,30819
2016-01-01T00:00:00.0000000,286750,345037,64396
2015-03-18T00:00:00.0000000,105119,452981,51635
2018-12-18T00:00:00.0000000,750866,302769,23823
2018-07-31T00:00:00.0000000,636524,268150,20776
2016-03-06T00:00:00.0000000,300941,385103,53538
2016-05-21T00:00:00.0000000,398643,435894,67758
2016-03-18T00:00:00.0000000,349425,436716,57699
2018-05-09T00:00:00.0000000,661470,316850,26196
2016-04-16T00:00:00.0000000,379054,452929,67849
2017-02-16T00:00:00.0000000,473291,368289,38174
2017-02-15T00:00:00.0000000,476792,347214,35059
2017-09-16T00:00:00.0000000,652242,331845,35528
2015-02-15T00:00:00.0000000,116940,459094,64362
2016-02-13T00:00:00.0000000,417186,448611,70652
2018-01-12T00:00:00.0000000,716956,317639,30463
2016-12-04T00:00:00.0000000,457793,346550,39922
2016-08-08T00:00:00.0000000,313093,291540,33379
2015-06-18T00:00:00.0000000,153221,429386,50191
2016-02-26T00:00:00.0000000,366793,437798,60253
2016-10-22T00:00:00.0000000,511821,401855,52160
2016-09-17T00:00:00.0000000,453741,375619,50595
2017-06-22T00:00:00.0000000,504760,338890,30674
2015-07-16T00:00:00.0000000,155878,400140,46468
2016-02-16T00:00:00.0000000,312839,363836,42679
2016-01-24T00:00:00.0000000,153319,159766,22010
2016-09-24T00:00:00.0000000,463454,378181,50841
2017-01-23T00:00:00.0000000,464632,293800,33958
2017-01-09T00:00:00.0000000,429535,301996,32743
2015-11-16T00:00:00.0000000,249536,347615,41105
2015-12-18T00:00:00.0000000,362323,458701,67735
2017-04-17T00:00:00.0000000,398341,282381,27330
2017-10-06T00:00:00.0000000,608573,331479,32952
2017-04-14T00:00:00.0000000,488822,333186,36012
2018-12-21T00:00:00.0000000,858437,290319,24809
2017-11-18T00:00:00.0000000,759561,345346,35962
2015-09-03T00:00:00.0000000,216933,378290,48372
2015-05-06T00:00:00.0000000,137944,444948,50446
2015-08-31T00:00:00.0000000,160708,322442,40266
2016-01-04T00:00:00.0000000,259891,316171,43740
